Food-Name,"Energy-
-kJ","Protein-
-g","Fat
-g","carbohydrate
-g",sugars-g,"Sodium-Na-
-mg","Zinc-Zn-
-mg","Folate
-ug","Pyridoxine-B6-
-mg","Cobalamin-B12-
-ug","Vitamin-D3
-ug","Vitamin-C-
-mg","Vitamin-A
-ug","Iron-Fe-
-mg","Calcium-Ca-
-mg","Selenium-Se-
-ug",per-100g
"Cardamom seed, dried, ground","1,236",10.8,6.7,34.4,4.4,18,7.47,3,0.23,0,0,21,4,13.97,383,11.7,per 100g
"Chilli (chili), dried, ground","1,280",13.4,14.3,14.9,7.2,"2,867",4.3,28,2.09,0,0,1,"2,500",17.3,330,20.4,per 100g
"Cinnamon, dried, ground","1,004",4,1.2,27.5,2.2,10,1.83,6,0.16,0,0,4,19,8.32,"1,002",3.1,per 100g
"Cloves, dried, ground","1,389",6,13,31.6,2.4,277,2.32,25,0.39,0,0,0,8,11.83,632,7.2,per 100g
"Coriander seed, dried, ground","1,344",12.4,17.8,8.4,2.4,35,4.7,0,0.04,0,0,21,20,16.32,709,26.2,per 100g
"Cumin (cummin) seed, dried, ground","1,782",17.8,22.3,33.7,2.2,168,4.8,10,0.44,0,0,8,127,66.36,931,5.2,per 100g
Curry powder,"1,231",14.3,14,2.8,2.8,52,4.7,56,0.1,0,0,1,2,19.1,525,40.3,per 100g
"Fenugreek seed, dried","1,080",23,6.4,4.2,0.6,67,2.5,57,0.6,0,0,3,24,33.53,176,6.3,per 100g
"Ginger, dried, ground","1,397",9,4.2,57.5,3.4,27,3.64,13,0.63,0,0,1,3,19.8,114,55.8,per 100g
Mustard powder,"2,289",29.4,39.5,17.2,5,3,4.9,162,0.4,0,0,7,6,7,160,160,per 100g
"Nutmeg, dried, ground","2,090",5.8,36.3,28.5,3,16,2.15,76,0.16,0,0,3,5,3.04,184,1.6,per 100g
"Oregano, dried","1,096",9,4.3,26.4,4.1,25,2.69,237,1.04,0,0,2,168,36.8,"1,597",4.5,per 100g
"Paprika, dry powder","1,311",14.1,12.9,19.1,10.3,68,4.33,49,2.14,0,0,1,"4,360",21.14,229,6.3,per 100g
"Pepper, black, ground","1,156",10.4,3.3,38.6,0.6,20,1.19,17,0.29,0,0,0,52,9.71,443,4.9,per 100g
"Rosemary, dried","1,314",4.9,15.2,20.4,19.6,50,3.23,307,1.74,0,0,61,313,29.25,"1,280",4.6,per 100g
"Sage, dried","1,320",10.6,12.8,20.4,1.7,11,4.7,274,2.69,0,0,32,581,28.12,"1,652",3.7,per 100g
"Thyme, dried, ground","1,182",9.1,7.4,26.9,1.7,55,6.18,274,0.55,0,0,50,377,123.6,"1,890",4.6,per 100g
"Turmeric, dried, ground","1,219",9.7,3.2,44.4,3.2,27,4.5,20,1.8,0,0,1,0,55,168,6.2,per 100g
"Salt substitute, potassium chloride",0,0,0,0,0,33,0.1,0,0,0,0,0,0,0,34,2.6,per 100g
"Salt, table, iodised",0,0,0,0,0,"38,168",0.1,0,0,0,0,0,0,0,34,1.9,per 100g
"Salt, table, non-iodised",0,0,0,0,0,"38,178",0.1,0,0,0,0,0,0,0,34,2.6,per 100g
"Stock, dry powder or cube",900,11.3,8.9,22.5,4.3,"18,400",0.4,14,0.1,0,0,0,4,2.5,71,6,per 100g
"Taco seasoning mix, chilli-based","1,010",5.9,4.1,39.7,19.2,"9,350",0.91,0,0.31,0,0,0,233,6.3,240,6,per 100g
"Baking powder, dry powder",364,0.8,0.3,19.8,0,"6,868",0.36,3,0.02,0,0,0,0,2.02,6,1.6,per 100g
"Baking soda (bicarbonate), dry powder",0,0,0,0,0,"27,360",0,0,0,0,0,0,0,0,0,0.2,per 100g
"Cream of tartar, dry powder",2,0,0,0,0,52,0.42,0,0,0,0,0,0,3.72,8,0.2,per 100g
"Gelatine, all types","1,449",84.4,0.4,0,0,330,0.4,30,0,0,0,0,0,2.1,250,6,per 100g
"Gluten, from wheat (vital wheat gluten)","1,507",75.2,0,13.2,0,29,0.85,0,0,0,0,0,0,5.2,142,39.7,per 100g
"Starch, potato","1,332",0,0.5,74.5,0,9,0.1,25,0.77,0,0,0,0,0.3,14,1.1,per 100g
"Vanilla, artificial or imitation",231,0,0,14.4,14.4,3,0.01,0,0.01,0,0,0,0,0.05,3,0,per 100g
Vanilla bean extract,"1,203",0.1,0.1,12.6,12.6,9,0.11,0,0.03,0,0,0,0,0.12,11,0,per 100g
"Yeast, dry powder","1,126",36.4,5,6.3,0,170,18,"2,340",0.82,0,0,0,0,3.5,18,1,per 100g
"Beer, high alcohol (5% v/v & above)",174,0.5,0,2.1,0.2,4,0,0,0.03,0,0,0,0,0.01,4,0,per 100g
"Beer, full strength (alcohol 4-4.9% v/v)",152,0.4,0,2.3,0,4,0,0,0.03,0,0,0,0,0,4,0,per 100g
"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",126,0.3,0,1,0,4,0,0,0.03,0,0,0,0,0.01,3,0,per 100g
"Beer, mid-strength (alcohol 3-3.9% v/v)",128,0.3,0,2.2,0,3,0,0,0.03,0,0,0,0,0,4,0,per 100g
"Beer, light (alcohol 1-2.9% v/v)",100,0.2,0,2.2,0,3,0,0,0.03,0,0,0,0,0,3,0,per 100g
"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",892,0,0,0.1,0.1,3,0.02,0,0,0,0,0,0,0.05,1,0,per 100g
"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",302,0,0,0.3,0.3,2,0.06,0,0,0,0,0,0,0.06,1,0,per 100g
"Cider, apple (alcohol approximately 4-5% v/v)",209,0,0,5.6,5.6,3,0.01,0,0.02,0,0,2,0,0.02,3,0,per 100g
"Wine, red, cabernet sauvignon",332,0.3,0,0.2,0.2,4,0.07,0,0,0,0,0,0,0.15,7,0,per 100g
"Wine, red, merlot",330,0.3,0,0.4,0.4,5,0.07,0,0,0,0,0,0,0.17,7,0,per 100g
"Wine, red, pinot noir",321,0.2,0,0.2,0.2,2,0.1,0,0,0,0,0,0,0.17,7,0,per 100g
"Wine, red, shiraz",342,0.2,0,0.2,0.2,7,0.09,0,0,0,0,0,0,0.18,6,0,per 100g
"Wine, red",335,0.2,0,0.2,0.2,5,0.08,0,0,0,0,0,0,0.17,7,0,per 100g
"Wine, red, cooked",120,0.3,0,0.2,0.2,5,0.09,0,0,0,0,0,0,0,8,0,per 100g
"Wine, red, sparkling",338,0.2,0,2,2,7,0.09,0,0,0,0,0,0,0.18,6,0,per 100g
"Wine, rose",289,0.2,0,0.7,0.7,5,0.06,0,0,0,0,0,0,0.08,8,0,per 100g
"Wine, white, sauvignon blanc",296,0.2,0,0.1,0.1,2,0.06,0,0,0,0,0,0,0.09,8,0,per 100g
"Wine, white, semillon",270,0.2,0,0.2,0.2,6,0.08,0,0,0,0,6,0,0.21,9,0,per 100g
"Wine, white, chardonnay",310,0.3,0,0.3,0.3,4,0.1,0,0,0,0,0,0,0.17,7,0,per 100g
"Wine, white, riesling",292,0.2,0,0.4,0.4,7,0.08,0,0,0,0,0,0,0.1,10,0,per 100g
"Wine, white",301,0.3,0,0.2,0.2,4,0.08,0,0,0,0,1,0,0.16,8,0,per 100g
"Wine, white, cooked",107,0.2,0,0.3,0.3,5,0.08,0,0.06,0,0,2,0,0.15,9,0,per 100g
"Wine, white, sparkling",306,0.2,0,1,1,2,0.06,0,0,0,0,0,0,0.19,7,0,per 100g
